location,npc,text,condition,weight
pantry,xiaoli,"小李用几块方糖和偷来的咖啡豆在角落里搭了一个迷你神龛，正对着它疯狂磕头祈求不要被裁员，这极其扭曲的社畜赛博迷信让{player_name}感到一种深深的可悲。",neutral,0.5
pantry,dazhuang,"大壮正徒手撕开茶水间承重墙的一块水泥板，不知他是想在墙里藏私房零食，还是企图暴力暴露公司的隐蔽电缆或保险箱。这疑似野蛮破坏大楼结构的行为把刚进门的{player_name}吓得不敢出声。",negative,1.0
pantry,dazhuang,"大壮举起一整桶标着“工业冷凝液”的蓝色液体就往嘴里灌。不知他是渴疯了丧失常识，还是故意在破坏制冷设备引发系统过载。这疑似搞破坏的自杀式举动偏偏被{player_name}全程目击。",negative,1.0
pantry,dazhuang,"大壮嫌墙上的智能语音播报器太吵，直接一巴掌把它拍成了粉末。不知他是真的暴躁，还是在刻意摧毁可能带有监听功能的安保设备。这嚣张的反监听操作让{player_name}直冒冷汗。",negative,1.0
pantry,dazhuang,"大壮因为实在太饿，竟然把茶水间的陶瓷咖啡杯一口吞了下去，并在嘴里嚼出极其刺耳的碎裂声，还抱怨不够咸，这堪比怪兽的干饭画面让{player_name}怀疑人生。",neutral,0.5
pantry,dazhuang,"大壮试图用自己疯狂隆起的肌肉互相摩擦来生热，企图靠这股荒谬的物理摩擦力来煮熟手里的一块生肉，这种毫无智商可言的操作把{player_name}看傻了眼。",neutral,0.5
pantry,player,"{player_name}正拿着一根棉签，小心翼翼地在经理专用的马克杯边缘刮取着什么。不知是在帮忙清洗污渍，还是在秘密采集高层的生物样本。这极度专业的特工举动，瞬间引起了门口同事充满防备的注视。",negative,1.0
pantry,player,"{player_name}在自动贩卖机的出币口塞进了一张折叠成奇怪形状的小纸条。不知是在清理垃圾，还是在利用物理死角和同伙进行情报死信箱交接。这谍战感拉满的动作恰好撞上了同事审视的目光。",negative,1.0
pantry,player,"{player_name}正对着茶水间的镜面反光托盘死死盯着，通过反射观察走廊外人员的走动。不知是在发呆，还是在执行极其专业的反跟踪侦察。这种掩饰不住的卧底素养，让一旁的同事瞬间拉开了安全距离。",negative,1.0
pantry,player,"{player_name}面对着一碗泡了五分钟但连叉子都折断了的劣质泡面，突然开始无声地流下悲愤的眼泪，这底层社畜崩溃的极品瞬间，被刚好进来接水的同事全程围观，气氛尴尬到了极点。",neutral,0.5
pantry,player,"{player_name}因为压力太大，正一本正经地对着墙上的一只变异蟑螂汇报工作，并单方面宣布这只蟑螂被晋升为了项目主管。这赛博精神病发作的场面，让经过的同事无奈地摇了摇头。",neutral,0.5
reception,laowang,"老王正趴在前台的访客登记簿上，用发黑的手指悄悄撕下一页记录。不知他是想拿纸垫桌角，还是在销毁某个敏感人物的来访痕迹。这疑似掩盖外部勾结的举动恰好被路过的{player_name}撞见。",negative,1.0
reception,laowang,"老王把一个没有任何标识的黑色包裹递给了一个看不清脸的快递员。不知他是在寄自己的私人物品，还是在向外部组织转移公司的核心罪证。这极其经典的特工交接画面落在了{player_name}眼里。",negative,1.0
reception,laowang,"老王正用半截铁丝在大门的电子锁里捅来捅去。不知他是丢了门禁卡，还是在测试如何瘫痪大楼的安保封锁系统。这疑似为潜入者开后门的危险举动引起了{player_name}的极度警觉。",negative,1.0
reception,laowang,"老王把前台用来迎接贵宾的高级迎宾地毯卷成了铺盖，自己像个木乃伊一样裹在里面呼呼大睡，把刚准备去大厅接客户的{player_name}雷得外焦里嫩。",neutral,0.5
reception,laowang,"老王在跟前台访客握手时，不小心把自己的半只手掌留在了对方手里，他还极其淡定地用剩下的半截胳膊指了指电梯方向，这惊悚的迎宾礼仪把{player_name}看呆了。",neutral,0.5
reception,zhoujie,"周姐的机械眼正对着前台的VIP客户人脸识别机进行强制覆写。不知她是在更新系统，还是企图把某个通缉犯的生物信息录入白名单。这危险的安保篡改操作被{player_name}尽收眼底。",negative,1.0
reception,zhoujie,"周姐正用液压钳极其粗暴地拆解前台的安检金属探测门。不知她是在进行设备维修，还是在故意破坏安检以放行某种致命武器。这疑似预谋武装袭击的准备工作让{player_name}冷汗直冒。",negative,1.0
reception,zhoujie,"周姐拦下了一封盖着总局印章的绝密信件，并直接塞进了自己的内置粉碎机里。不知她是处理垃圾，还是在恶意拦截对公司不利的外部调查令。这毁灭证据的一幕刚好撞上了{player_name}的视线。",negative,1.0
reception,zhoujie,"周姐对大门自动感应器的延迟开门极其不满，直接一脚把两扇玻璃门踹成了蜘蛛网状，然后冷着脸跨了出去，这暴躁的赛博脾气让站在一旁的{player_name}大气都不敢喘。",neutral,0.5
reception,zhoujie,"周姐强迫症发作，正在用激光矫正仪把前台所有的宣传手册边缘对齐到绝对的直线，连客户想拿走一本都要被她死亡凝视，场面极度尴尬，{player_name}只能假装看风景。",neutral,0.5
reception,ahua,"阿花正微笑着在前台的访客签到笔上涂抹一层透明的植物汁液。不知是在做清洁，还是在给所有来访的高管下接触性神经毒素。这疑似大范围暗杀的投毒行为被{player_name}抓了现行。",negative,1.0
reception,ahua,"阿花借着递名片的机会，悄悄把一片带有奇怪纹路的树叶塞进了一个外部调查员的口袋里。不知是她特殊的恶作剧，还是在利用变异植物传递公司的布防图。这明目张胆的接头举动让{player_name}起了疑心。",negative,1.0
reception,ahua,"阿花的藤蔓悄无声息地缠住了大厅的高清监控探头，将其硬生生扭转了一个角度。不知是植物的野蛮生长，还是在刻意为某人的潜入制造监控死角。这极其可疑的破坏举动被{player_name}看个真切。",negative,1.0
reception,ahua,"阿花对着前台的全息迎宾投影散发着惊人的绿茶魅力，竟然把一段没有感情的AI程序撩得疯狂乱码并冒出了粉色爱心，这跨越数字鸿沟的诡异魅惑力让{player_name}一阵无语。",neutral,0.5
reception,ahua,"阿花觉得前台的空气不够清新，当场从嘴里吐出一朵巨大的食人花充当空气净化器，食人花甚至还打了个带有血腥味的嗝，把路过的{player_name}吓得倒退三步。",neutral,0.5
reception,xiaoli,"小李正穿着借来的快递员制服，试图把前台一份写着经理亲启的包裹调包。不知他是在恶作剧，还是在拦截高层的致命黑料。这经典的间谍调包计恰好被来拿快递的{player_name}看了个全场。",negative,1.0
reception,xiaoli,"小李趴在前台地毯边缘，从门缝里拉进一根极其细小的外部光缆。不知他是在修网络，还是企图把公司的内网数据直接物理传输给大楼外的接应者。这严重的泄密嫌疑引起了{player_name}的极度警觉。",negative,1.0
reception,xiaoli,"小李正对着前台的名片盒疯狂拍照，专门挑那些有着军方或政界背景的联系人。不知他是想拉皮条，还是在暗中梳理公司的非法利益输送网。这疑似调查取证的变态行为让{player_name}倒吸一口凉气。",negative,1.0
reception,xiaoli,"小李为了贪图前台免费提供的迎宾薄荷糖，把自己的腮帮子塞得像只仓鼠，结果被卡住喉咙翻着白眼在地上打滚，让正准备接待客户的{player_name}进退两难。",neutral,0.5
reception,xiaoli,"小李对着大门外路过的每一个人疯狂鞠躬，企图推销自己手里的废旧办公用品赚外快，像个极度卑微的推销员，把公司的脸都丢尽了，{player_name}只能装作不认识他。",neutral,0.5
reception,dazhuang,"大壮正徒手把前台那个防弹级的旋转门给卸了下来。不知他是嫌进出麻烦，还是在故意破坏外围安保，为即将到来的武装突袭敞开大门。这疑似内鬼破坏防御的暴力举动把{player_name}吓得不敢出声。",negative,1.0
reception,dazhuang,"大壮从一个标注着“危险生化品”的外部急件箱里抓出一把发光的粉末直接吞了下去。不知他是饥不择食，还是在趁机销毁对公司不利的外部证据。这疑似灭口的野蛮操作偏偏被{player_name}全程目击。",negative,1.0
reception,dazhuang,"大壮嫌前台的迎宾警报器太吵，直接连着墙皮一起将警报器硬生生扯断。不知他是真的暴躁，还是在刻意瘫痪大楼的紧急封锁系统。这嚣张的破坏安保行为让{player_name}直冒冷汗。",negative,1.0
reception,dazhuang,"大壮把前台用来装饰的巨大景观鱼缸当成了水杯，把头扎进去一口气喝干了半缸水，连带着几条昂贵的观赏鱼也一起进了肚子，这堪比野兽的干饭画面让{player_name}怀疑人生。",neutral,0.5
reception,dazhuang,"大壮因为无聊，正在前台跟一个全自动扫地机器人较劲，他把机器人当成冰壶一样在光洁的大理石地面上疯狂推掷，差点把门砸穿，这离谱的娱乐活动让{player_name}看傻了眼。",neutral,0.5
reception,player,"{player_name}正把一个来历不明的U盘插进前台用来登记访客信息的终端上。不知是在给手机充电，还是企图下载整栋大楼的人员进出明细。这极具黑客色彩的危险举动，恰好被一旁路过的同事尽收眼底。",negative,1.0
reception,player,"{player_name}手里紧紧攥着一个微型紫外线灯，正对着前台刚收到的一封加密信件疯狂扫射。不知是在检验钞票真伪，还是在提取信封上的隐形墨水密码。这极其专业的特工破译动作，瞬间引起了周围同事的警惕。",negative,1.0
reception,player,"{player_name}趁着前台没人，正用工具试图撬开连接着公司外部通讯主干道的弱电箱。不知是在找掉进去的东西，还是企图搭线窃听高层的对外通话。这带有间谍嫌疑的敏感瞬间，刚好撞上了对面同事探究的眼神。",negative,1.0
reception,player,"{player_name}面对着前台墙上那句“你的灵魂属于公司”的巨大标语，突然陷入了深深的存在主义危机，竟然跪在地上开始做无实物超度，这赛博精神病发作的瞬间被刚好进门的同事全程围观。",neutral,0.5
reception,player,"{player_name}为了躲避即将到来的加班通知，竟然把自己完美地塞进了一个极其狭窄的迎宾花瓶里，只露出一双充满绝望的眼睛，结果花瓶卡住了出不来，场面尴尬到了极点。",neutral,0.5
